name,games,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,id
Kenny Anderson,858,16.4,0.501,0.166,0.298,2.9,8.7,5.7,33.2,2.5,0.3,14.1,21.3,36.4,26.1,62.5,0.116,1.1,0.3,1.4,21.9,49
Kyle Anderson,714,14.2,0.546,0.214,0.268,4.0,17.9,11.0,17.7,2.2,2.5,13.8,14.7,14.2,25.1,39.4,0.123,-0.8,2.5,1.7,14.5,50
Nick Anderson,800,15.8,0.525,0.3,0.249,4.6,13.8,9.2,13.3,2.3,1.0,11.0,21.3,27.5,27.8,55.3,0.106,1.4,0.5,1.9,24.7,51
Richard Anderson,407,12.3,0.476,0.202,0.175,8.0,18.0,12.9,13.1,1.7,0.9,13.2,17.8,2.1,5.5,7.6,0.061,-0.8,-0.3,-1.1,1.4,52
Ron Anderson,664,14.3,0.517,0.059,0.212,6.3,10.7,8.5,9.6,1.5,0.4,9.7,21.2,14.0,10.2,24.2,0.077,-0.1,-1.2,-1.3,2.6,53
Ryan Anderson,649,16.5,0.561,0.534,0.209,8.5,14.9,11.7,5.8,1.0,1.0,7.8,20.9,34.3,12.4,46.7,0.134,2.6,-1.5,1.0,12.8,54
Shandon Anderson,719,11.7,0.535,0.223,0.319,4.5,12.0,8.3,10.2,1.8,0.8,16.1,17.1,9.4,14.2,23.6,0.071,-1.4,0.1,-1.3,3.0,55
Willie Anderson,555,13.8,0.517,0.063,0.227,3.9,10.6,7.3,19.9,1.8,1.4,15.1,20.3,9.9,18.0,27.9,0.084,-0.5,0.6,0.1,8.6,56
Giannis Antetokounmpo,859,25.8,0.611,0.14,0.522,6.3,25.9,16.4,26.6,1.7,3.3,13.3,29.8,75.9,44.8,120.8,0.205,4.5,2.2,6.7,62.4,57
Thanasis Antetokounmpo,198,10.3,0.531,0.16,0.346,9.1,12.0,10.6,9.8,1.7,1.8,19.1,15.5,0.1,1.8,1.9,0.059,-4.3,0.1,-4.3,-0.9,58
Carmelo Anthony,1260,19.5,0.543,0.215,0.343,5.2,15.1,10.1,14.4,1.4,1.2,10.5,29.7,70.8,37.8,108.5,0.12,2.5,-1.2,1.3,36.7,59
Cole Anthony,320,14.1,0.533,0.373,0.262,3.1,16.2,9.6,24.4,1.4,1.6,13.7,23.9,2.1,8.9,11.0,0.066,-0.6,0.0,-0.6,2.9,60
Greg Anthony,757,14.5,0.51,0.368,0.304,2.0,8.3,5.2,30.0,3.0,0.4,16.2,18.4,15.6,20.3,35.9,0.109,0.1,1.2,1.3,13.3,61
Joel Anthony,490,9.7,0.558,0.0,0.522,9.6,13.0,11.3,2.0,1.0,6.1,19.2,7.8,5.1,10.2,15.3,0.104,-3.3,1.5,-1.8,0.4,62
OG Anunoby,492,13.5,0.583,0.458,0.185,4.0,12.0,8.0,8.1,2.1,1.8,10.7,17.6,13.7,17.7,31.4,0.101,-0.4,0.6,0.2,8.3,63
Tiny Archibald,876,18.0,0.543,0.007,0.456,1.7,5.1,3.4,30.1,1.6,0.2,20.2,18.0,65.4,18.0,83.4,0.128,1.6,-1.2,0.4,12.9,64
Ryan Arcidiacono,257,9.8,0.558,0.577,0.195,1.4,11.3,6.3,16.9,1.5,0.2,12.7,11.7,3.7,2.4,6.0,0.074,-2.8,0.1,-2.8,-0.8,65
Jim Ard,431,10.6,0.447,0.009,0.324,9.8,21.4,15.7,6.4,0.9,2.0,19.3,18.3,-2.0,6.0,4.0,0.034,-3.2,0.4,-2.8,-0.7,66
Gilbert Arenas,552,19.6,0.547,0.348,0.405,2.5,10.2,6.3,26.8,2.4,0.5,14.3,27.7,38.3,13.0,51.3,0.127,3.1,-0.6,2.6,22.3,67
Trevor Ariza,1118,13.1,0.535,0.467,0.24,3.8,14.8,9.3,11.0,2.5,0.9,12.0,16.6,24.9,39.4,64.3,0.094,-0.3,1.0,0.6,21.8,68
Paul Arizin,713,19.8,0.506,,0.463,,,,,,,,,82.1,26.7,108.8,0.183,,,,,69
B.J. Armstrong,747,14.5,0.555,0.172,0.231,1.3,7.4,4.3,20.9,1.5,0.2,11.9,18.4,31.7,13.4,45.0,0.121,0.4,-0.6,-0.2,8.1,70
Darrell Armstrong,840,16.3,0.532,0.425,0.258,3.7,9.3,6.5,28.2,3.0,0.4,17.7,19.7,27.4,22.4,49.8,0.12,1.5,0.8,2.3,21.4,71
Hilton Armstrong,292,9.9,0.529,0.01,0.456,10.0,16.6,13.2,4.5,1.4,3.3,21.7,14.6,-0.4,4.3,3.9,0.055,-4.6,0.5,-4.1,-1.8,72
Bob Arnzen,111,13.6,0.499,0.012,0.182,7.7,7.7,10.4,5.0,0.7,0.6,10.0,17.1,0.7,0.7,1.4,0.073,-2.0,-0.5,-2.4,0.0,73
Carlos Arroyo,569,13.4,0.511,0.124,0.292,2.4,8.4,5.4,28.0,1.5,0.2,15.6,19.1,11.4,8.7,20.1,0.091,-0.6,-0.5,-1.1,2.4,74
Darrell Arthur,503,12.2,0.495,0.147,0.151,7.0,15.9,11.4,7.2,1.8,2.7,11.3,18.5,2.4,10.0,12.3,0.066,-2.5,0.3,-2.2,-0.4,75
Ömer Aşık,471,13.4,0.548,0.001,0.592,12.8,28.1,20.5,4.5,0.9,2.8,19.3,13.6,7.2,13.6,20.9,0.109,-1.9,0.0,-1.9,0.1,76
Vincent Askew,467,12.6,0.551,0.1,0.421,5.0,9.5,7.3,15.5,1.6,0.8,14.3,16.1,12.9,9.2,22.1,0.113,-0.3,0.3,0.0,4.7,77
Keith Askins,486,9.2,0.507,0.459,0.184,7.6,13.1,10.4,7.1,1.8,1.5,15.0,12.0,4.1,10.4,14.5,0.087,-2.0,1.2,-0.8,2.5,78
