name,games,fg,fga,fg_pct,fg3,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,tpl_dbl,id
Kenny Thomas,632,2309,4966,0.465,59.0,0.244,1199,1715,0.699,1447.0,2894.0,4341,975,527.0,276.0,1054.0,1581,5876,1,1996
Kurt Thomas,1110,3836,7894,0.486,9.0,0.281,1292,1701,0.76,1922.0,5406.0,7328,1204,724.0,841.0,1241.0,3579,8973,0,1997
Lance Thomas,399,748,1796,0.416,165.0,0.381,389,487,0.799,293.0,728.0,1021,266,148.0,55.0,266.0,683,2050,0,1998
Tim Thomas,824,3458,7922,0.437,962.0,0.369,1576,2079,0.758,807.0,2572.0,3379,1272,609.0,300.0,1217.0,2261,9454,0,1999
Tyrus Thomas,402,1147,2620,0.438,8.0,0.235,791,1080,0.732,550.0,1388.0,1938,347,328.0,525.0,527.0,989,3093,0,2000
Bernard Thompson,204,410,934,0.439,0.0,0.0,258,327,0.789,164.0,188.0,352,266,127.0,27.0,181.0,391,1078,0,2001
Billy Thompson,300,1074,2128,0.505,2.0,0.154,416,617,0.674,670.0,945.0,1615,514,158.0,272.0,529.0,817,2566,0,2002
David Thompson,592,5020,9932,0.505,26.0,0.255,3356,4297,0.781,965.0,1481.0,2446,1939,595.0,509.0,1379.0,1569,13422,0,2003
George Thompson,437,2954,6349,0.465,101.0,0.265,2105,2762,0.762,569.0,888.0,1457,1561,183.0,30.0,954.0,1210,8114,0,2004
Jason Thompson,588,2112,4255,0.496,6.0,0.143,980,1492,0.657,1264.0,2616.0,3880,635,283.0,414.0,747.0,1751,5210,0,2005
Klay Thompson,865,6155,13659,0.451,2697.0,0.411,1529,1778,0.86,406.0,2635.0,3041,1988,726.0,443.0,1424.0,1705,16536,0,2006
LaSalle Thompson,985,3136,6376,0.492,4.0,0.154,1530,2075,0.737,2123.0,4566.0,6689,1139,741.0,972.0,1646.0,3143,7806,0,2007
Mychal Thompson,935,5191,10306,0.504,1.0,0.083,2427,3707,0.655,2229.0,4722.0,6951,2141,701.0,1073.0,2104.0,2692,12810,2,2008
Tristan Thompson,819,2758,5308,0.52,10.0,0.238,1296,2189,0.592,2509.0,3919.0,6428,800,378.0,526.0,868.0,1750,6822,0,2009
Rod Thorn,466,1939,4479,0.433,,,1134,1569,0.723,,,1463,1214,,,,784,5012,0,2010
Bob Thornton,283,320,720,0.444,2.0,0.222,202,362,0.558,267.0,445.0,712,99,74.0,35.0,210.0,578,844,0,2011
Marcus Thornton,483,2124,5003,0.425,735.0,0.358,767,924,0.83,407.0,941.0,1348,677,405.0,61.0,491.0,739,5750,0,2012
Otis Thorpe,1257,6872,12593,0.546,3.0,0.047,3853,5612,0.687,3446.0,6924.0,10370,2730,840.0,501.0,2774.0,4146,17600,3,2013
Sedale Threatt,951,3914,8075,0.485,188.0,0.293,1311,1608,0.815,371.0,1338.0,1709,3613,1138.0,136.0,1296.0,2178,9327,0,2014
Nate Thurmond,964,5521,13105,0.421,,,3395,5089,0.667,744.0,1827.0,14464,2575,125.0,553.0,,2624,14437,4,2015
Matisse Thybulle,347,642,1466,0.438,299.0,0.343,115,174,0.661,200.0,510.0,710,388,543.0,279.0,199.0,646,1698,0,2016
Xavier Tillman Sr.,260,587,1153,0.509,61.0,0.252,154,267,0.577,341.0,637.0,978,317,213.0,126.0,171.0,369,1389,0,2017
Jamaal Tinsley,547,1759,4481,0.393,397.0,0.299,737,1029,0.716,345.0,1260.0,1605,3330,776.0,155.0,1375.0,1306,4652,2,2018
Wayman Tisdale,840,5338,10575,0.505,0.0,0.0,2202,2897,0.76,1617.0,3500.0,5117,1077,464.0,500.0,1407.0,2801,12878,0,2019
Ray Tolbert,261,396,800,0.495,0.0,0.0,136,250,0.544,221.0,388.0,609,135,71.0,101.0,210.0,418,928,0,2020
Tom Tolbert,312,757,1647,0.46,29.0,0.296,487,680,0.716,406.0,845.0,1251,285,116.0,109.0,347.0,741,2030,0,2021
Anthony Tolliver,730,1466,3538,0.414,865.0,0.373,654,848,0.771,545.0,1871.0,2416,650,272.0,215.0,462.0,1171,4451,0,2022
Rudy Tomjanovich,768,5630,11240,0.501,34.0,0.262,2089,2666,0.784,1173.0,2783.0,6198,1573,374.0,175.0,332.0,1937,13383,0,2023
Andrew Toney,468,2859,5718,0.5,138.0,0.342,1602,2010,0.797,235.0,774.0,1009,1965,369.0,105.0,1394.0,1341,7458,1,2024
Sedric Toney,112,139,381,0.365,31.0,0.341,100,128,0.781,22.0,76.0,98,235,48.0,1.0,114.0,159,409,0,2025
Andy Toolson,60,58,146,0.397,15.0,0.341,28,37,0.757,32.0,41.0,73,32,14.0,2.0,26.0,70,159,0,2026
Obi Toppin,362,1191,2279,0.523,375.0,0.355,317,411,0.771,265.0,966.0,1231,428,158.0,131.0,254.0,476,3074,0,2027
Gene Tormohlen,271,515,1253,0.411,,,161,278,0.579,,,1122,257,,,,551,1191,0,2028
Juan Toscano-Anderson,202,332,662,0.502,82.0,0.329,84,130,0.646,98.0,503.0,601,372,119.0,59.0,181.0,347,830,0,2029
Axel Toupane,33,34,90,0.378,15.0,0.326,18,24,0.75,8.0,30.0,38,19,10.0,10.0,6.0,52,101,0,2030
Karl-Anthony Towns,645,5460,10424,0.524,1117.0,0.4,2843,3395,0.837,1802.0,5334.0,7136,2037,523.0,771.0,1745.0,2197,14880,3,2031
George Trapp,379,1417,3188,0.444,,,519,690,0.752,251.0,577.0,1466,375,117.0,71.0,,1034,3353,0,2032
John Trapp,303,900,2142,0.42,0.0,0.0,393,548,0.717,27.0,45.0,1320,303,16.0,6.0,25.0,931,2193,0,2033
Robert Traylor,438,841,1774,0.474,4.0,0.167,399,691,0.577,671.0,969.0,1640,312,280.0,306.0,400.0,1079,2085,0,2034
