name,games,fg,fga,fg_pct,fg3,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,tpl_dbl,id
Cedric Ceballos,609,3414,6824,0.5,235.0,0.309,1630,2165,0.753,1252.0,2006.0,3258,723,450.0,183.0,991.0,1074,8693,0,365
Mario Chalmers,646,1936,4641,0.417,755.0,0.351,1116,1407,0.793,211.0,1374.0,1585,2412,950.0,103.0,1202.0,1756,5743,0,366
Wilt Chamberlain,1045,12681,23497,0.54,,,6057,11862,0.511,,,23924,4643,,,,2075,31419,78,367
Jerry Chambers,320,1115,2534,0.44,2.0,0.2,435,562,0.774,120.0,173.0,1032,270,11.0,3.0,83.0,639,2667,0,368
Tom Chambers,1107,7378,15749,0.468,227.0,0.307,5066,6274,0.807,1942.0,4761.0,6703,2283,885.0,627.0,2549.0,3742,20049,0,369
Tyson Chandler,1160,3558,5964,0.597,0.0,0.0,2393,3714,0.644,3529.0,6938.0,10467,967,630.0,1335.0,1656.0,3268,9509,0,370
Wilson Chandler,676,3270,7382,0.443,874.0,0.341,1049,1363,0.77,766.0,2808.0,3574,1205,470.0,414.0,931.0,1807,8463,0,371
Don Chaney,790,2704,6195,0.436,2.0,0.2,1253,1614,0.776,748.0,894.0,3147,1762,558.0,232.0,278.0,2248,6663,0,372
Rex Chapman,666,3716,8638,0.43,805.0,0.35,1494,1868,0.8,379.0,1266.0,1645,1798,592.0,129.0,1030.0,1228,9731,0,373
Len Chappell,670,2443,5409,0.452,0.0,,1341,1925,0.697,146.0,172.0,3431,503,,,63.0,1349,6227,0,374
Ken Charles,322,1083,2458,0.441,,,581,736,0.789,198.0,442.0,640,806,407.0,128.0,37.0,806,2747,0,375
Calbert Cheaney,825,3366,7227,0.466,204.0,0.298,890,1288,0.691,732.0,1878.0,2610,1398,659.0,198.0,994.0,2074,7826,0,376
Maurice Cheeks,1101,4906,9374,0.523,52.0,0.255,2331,2938,0.793,713.0,2375.0,3088,7392,2310.0,294.0,2268.0,2258,12195,1,377
Phil Chenier,578,4120,9271,0.444,6.0,0.4,1685,2091,0.806,366.0,1141.0,2063,1742,682.0,238.0,157.0,1143,9931,0,378
Pete Chilcutt,584,1044,2368,0.441,188.0,0.381,218,313,0.696,663.0,1272.0,1935,488,267.0,210.0,390.0,853,2494,0,379
Josh Childress,391,1343,2571,0.522,99.0,0.329,763,980,0.779,732.0,1118.0,1850,609,339.0,184.0,439.0,725,3548,0,380
Chris Childs,541,1288,3196,0.403,372.0,0.344,762,934,0.816,196.0,1112.0,1308,2633,490.0,54.0,1064.0,1586,3710,2,381
Jim Chones,788,4210,8800,0.478,0.0,0.0,1401,2061,0.68,1736.0,4691.0,6427,1292,391.0,774.0,1165.0,2606,9821,0,382
Marquese Chriss,292,830,1822,0.456,161.0,0.29,385,577,0.667,362.0,1004.0,1366,298,187.0,227.0,348.0,738,2206,0,383
Cal Christensen,291,486,1471,0.33,,,535,883,0.606,,,1587,460,,,,831,1507,0,384
Bob Christian,248,347,715,0.485,0.0,,250,355,0.704,86.0,256.0,1005,203,19.0,32.0,3.0,500,944,0,385
Doug Christie,827,3238,7604,0.426,805.0,0.354,2020,2460,0.821,797.0,2585.0,3382,2992,1555.0,392.0,1721.0,2051,9301,0,386
Archie Clark,725,4693,9784,0.48,,,2433,3163,0.769,130.0,383.0,2427,3498,231.0,15.0,,1806,11819,0,387
Earl Clark,261,453,1125,0.403,82.0,0.328,150,226,0.664,195.0,583.0,778,134,83.0,136.0,175.0,323,1138,0,388
Ian Clark,330,718,1635,0.439,240.0,0.34,164,204,0.804,65.0,375.0,440,385,128.0,44.0,236.0,394,1840,0,389
Keon Clark,353,1179,2359,0.5,1.0,0.053,523,811,0.645,655.0,1441.0,2096,322,184.0,571.0,470.0,1013,2882,0,390
Brandon Clarke,307,1338,2209,0.606,51.0,0.266,409,586,0.698,556.0,1127.0,1683,409,222.0,246.0,221.0,590,3136,0,391
Jordan Clarkson,753,4491,10294,0.436,1402.0,0.336,1645,1984,0.829,647.0,1876.0,2523,2211,614.0,116.0,1416.0,1266,12029,1,392
Nic Claxton,311,1395,2194,0.636,8.0,0.2,416,774,0.537,687.0,1710.0,2397,535,221.0,534.0,341.0,729,3214,0,393
Speedy Claxton,334,1126,2753,0.409,42.0,0.193,802,1053,0.762,194.0,636.0,830,1441,503.0,40.0,580.0,827,3096,0,394
Jim Cleamons,652,2242,4870,0.46,7.0,0.226,921,1204,0.765,570.0,1205.0,1981,2531,533.0,120.0,364.0,1237,5412,0,395
Mateen Cleaves,167,233,599,0.389,12.0,0.267,131,180,0.728,33.0,142.0,175,310,67.0,5.0,201.0,213,609,0,396
Barry Clemens,790,2262,4987,0.454,,,788,1043,0.756,102.0,295.0,2532,905,131.0,11.0,,1665,5312,0,397
Nat Clifton,544,2082,5766,0.361,,,1280,2021,0.633,,,4469,1367,,,,1840,5444,0,398
Amir Coffey,323,741,1630,0.455,307.0,0.384,359,429,0.837,118.0,501.0,619,366,141.0,43.0,167.0,409,2148,0,399
John Coker,25,18,44,0.409,0.0,,5,6,0.833,12.0,17.0,29,3,2.0,3.0,4.0,22,41,0,400
Norris Cole,360,1005,2469,0.407,207.0,0.324,289,389,0.743,79.0,623.0,702,981,280.0,34.0,517.0,679,2506,0,401
Ben Coleman,227,583,1129,0.516,0.0,0.0,328,432,0.759,305.0,623.0,928,128,94.0,99.0,302.0,613,1494,0,402
Derrick Coleman,781,4616,10335,0.447,326.0,0.295,3326,4326,0.769,2079.0,5153.0,7232,1985,606.0,1051.0,2036.0,2062,12884,4,403
E.C. Coleman,357,1104,2378,0.464,,,345,497,0.694,661.0,1490.0,2151,472,305.0,142.0,95.0,1210,2553,0,404
Jack Coleman,633,2813,6763,0.416,,,1095,1575,0.695,,,5186,1749,,,,1927,6721,0,405
Bimbo Coles,852,2549,5991,0.425,252.0,0.267,1278,1576,0.811,469.0,1351.0,1820,3313,735.0,134.0,1267.0,1824,6628,0,406
Jason Collier,151,338,743,0.455,7.0,0.35,158,214,0.738,175.0,268.0,443,51,36.0,32.0,120.0,295,841,0,407
