name,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
Julius Keye,,418,,13676,11.0,.455,.007,.333,9.4,21.3,15.6,5.9,0.8,3.7,16.4,11.2,-2.1,19.8,17.8,.062,-1.7,1.6,-0.1,1.3,
Randolph Keys,,241,19,3318,10.3,.472,.120,.201,7.2,12.1,9.6,8.9,2.1,0.9,11.6,19.8,-0.7,3.0,2.3,.034,-3.6,-0.3,-3.9,-1.6,
Jason Kidd,,1391,1350,50111,17.9,.507,.366,.254,4.0,16.0,10.0,38.5,2.8,0.7,18.8,19.2,63.4,75.1,138.6,.133,2.3,1.5,3.8,73.5,
Michael Kidd-Gilchrist,,446,356,10978,13.4,.524,.033,.362,7.0,17.6,12.2,7.5,1.4,2.3,10.1,16.2,9.6,11.5,21.0,.092,-2.0,0.2,-1.8,0.6,
Toby Kimball,,571,1,10439,12.1,.458,,.378,10.6,23.0,16.0,7.0,1.3,0.7,,,-0.7,14.9,14.2,.065,-1.0,-0.4,-1.4,0.2,
Albert King,,534,326,12836,13.1,.503,.036,.214,6.6,13.3,10.0,13.6,1.7,0.9,15.2,23.6,1.7,14.6,16.3,.061,-1.2,-0.4,-1.7,1.1,
Bernard King,,874,547,29417,19.2,.561,.009,.360,6.2,12.7,9.4,16.0,1.4,0.4,13.8,27.8,49.5,25.8,75.4,.123,2.5,-0.8,1.7,27.0,
Chris King,,103,66,2058,10.6,.486,.188,.259,6.0,11.9,8.9,9.8,1.9,1.2,14.3,18.4,-0.8,1.8,1.0,.023,-2.5,-0.4,-2.8,-0.4,
George King,,411,,13408,14.2,.441,,.465,,,,,,,,,12.9,18.5,31.4,.113,,,,,
Jim King,,607,,11187,11.8,.474,,.307,,,4.5,16.6,,,,,5.8,11.8,17.7,.076,,,,,
Reggie King,,438,128,11345,13.1,.558,.001,.426,8.2,18.3,13.2,8.0,1.5,0.7,15.8,14.9,11.2,13.7,24.8,.105,-0.5,0.1,-0.4,4.6,
Stacey King,,438,63,7406,11.9,.530,.008,.425,9.5,13.7,11.6,7.3,1.2,1.9,16.5,18.7,3.5,7.4,10.9,.071,-2.4,-1.0,-3.4,-2.7,
