name,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
Alaa Abdelnaby,,256,53,3200,13.0,.532,.002,.260,10.0,19.6,14.8,4.1,1.1,1.4,15.2,21.6,0.7,4.1,4.8,.072,-2.9,-0.9,-3.8,-1.5,
Zaid Abdul-Aziz,,505,,11023,15.1,.479,,.338,12.1,26.9,18.3,7.3,1.3,2.5,16.6,21.1,5.9,11.6,17.5,.076,0.6,-0.2,0.4,2.7,
Kareem Abdul-Jabbar,,1560,789,57446,24.6,.592,.001,.329,7.7,21.7,15.7,14.6,1.2,3.8,13.4,24.3,178.9,94.5,273.4,.228,4.1,1.6,5.7,85.7,
Mahmoud Abdul-Rauf,,586,336,15628,15.4,.506,.169,.146,1.5,6.2,3.8,23.0,1.6,0.2,10.2,25.4,16.7,8.4,25.2,.077,0.7,-1.5,-0.8,4.5,
Tariq Abdul-Wahad,,236,145,4807,11.4,.467,.044,.306,6.4,11.2,8.8,8.8,1.9,1.2,13.6,20.4,-0.6,4.1,3.5,.035,-2.6,-0.4,-3.0,-1.2,
Shareef Abdur-Rahim,,830,704,28882,19.0,.549,.045,.429,7.5,17.5,12.5,13.6,1.5,1.6,13.5,25.0,50.1,21.1,71.2,.118,1.7,-0.7,1.0,21.9,
Tom Abernethy,,319,0,5434,12.9,.534,.001,.301,7.3,12.3,9.8,9.0,1.6,0.6,9.3,13.7,8.4,5.0,13.4,.118,0.0,0.1,0.2,3.0,
Precious Achiuwa,,320,72,6396,14.0,.533,.196,.269,10.5,21.6,15.9,7.0,1.4,3.1,12.1,17.5,3.4,8.4,11.8,.089,-2.0,-0.3,-2.3,-0.4,
Mark Acres,,375,68,5982,9.0,.551,.013,.456,10.7,17.6,14.1,3.8,1.1,1.0,16.2,10.0,5.1,4.2,9.3,.075,-2.9,-0.4,-3.3,-1.9,
Quincy Acy,,337,60,5392,11.2,.553,.398,.294,6.3,18.1,12.1,6.1,1.3,2.0,12.9,13.9,4.4,4.4,8.7,.078,-2.0,-0.1,-2.0,-0.1,
Alvan Adams,,988,342,27203,18.3,.541,.001,.276,8.3,19.7,14.1,21.4,2.2,1.6,17.8,22.0,29.8,43.6,73.5,.130,1.3,1.5,2.8,33.0,
Don Adams,,523,,13474,10.7,.451,.001,.283,6.2,13.8,10.6,10.0,2.1,0.5,16.7,16.9,-2.8,14.5,11.7,.042,-2.4,0.5,-2.0,0.0,
Michael Adams,,653,510,20446,16.6,.536,.364,.324,2.1,8.1,5.0,28.2,2.5,0.2,13.5,20.2,31.6,15.3,46.9,.110,2.0,-0.2,1.9,19.9,
Steven Adams,,764,644,19738,17.1,.589,.004,.445,15.1,18.3,16.7,8.0,1.6,3.0,15.9,14.6,34.3,27.3,61.6,.150,0.2,0.3,0.5,12.5,
Rafael Addison,,379,54,5697,10.5,.496,.120,.175,5.2,10.4,7.8,9.1,1.3,1.0,11.4,18.7,1.7,3.2,4.9,.041,-2.6,-1.1,-3.8,-2.5,
Bam Adebayo,,567,463,17354,19.8,.592,.051,.407,8.2,24.2,16.3,19.1,1.7,2.8,13.9,22.4,29.5,28.1,57.6,.159,1.0,1.6,2.5,19.9,
Rick Adelman,,462,,10427,11.3,.467,,.344,2.5,7.6,4.7,20.0,2.8,0.3,,,1.9,8.1,10.0,.046,-3.0,1.6,-1.4,0.3,
Jeff Adrien,,153,17,2148,15.0,.518,.004,.517,11.5,23.9,17.5,7.5,1.2,2.9,11.7,16.3,2.5,1.9,4.4,.098,-1.3,-0.9,-2.2,-0.1,
Arron Afflalo,,762,537,20829,11.9,.556,.332,.252,1.9,10.0,5.9,10.6,0.8,0.5,10.4,17.8,23.9,9.6,33.5,.077,-0.5,-1.0,-1.5,2.4,
Maurice Ager,,82,4,505,2.8,.398,.233,.280,1.9,8.8,5.4,6.1,0.6,0.9,12.0,22.1,-1.3,0.3,-0.9,-0.089,-6.9,-2.5,-9.4,-0.9,
Mark Aguirre,,923,639,27730,19.0,.542,.085,.333,6.9,11.6,9.2,16.9,1.2,0.6,11.9,29.1,46.5,21.3,67.8,.117,2.6,-1.1,1.5,24.4,
Blake Ahearn,,19,0,226,7.2,.481,.610,.429,0.5,11.2,5.8,15.5,1.7,0.0,19.4,23.6,-0.3,0.1,-0.2,-0.034,-4.6,-1.8,-6.4,-0.2,
Danny Ainge,,1042,508,27755,14.7,.555,.268,.200,2.9,8.1,5.6,20.8,2.0,0.3,12.7,18.5,45.7,25.9,71.5,.124,0.8,0.3,1.1,21.9,
Alexis Ajinça,,293,76,3905,14.9,.546,.033,.246,9.9,23.5,16.6,5.9,1.3,3.7,14.9,19.3,2.9,4.6,7.5,.093,-2.9,0.1,-2.8,-0.8,
Mark Alarie,,325,41,5500,13.0,.514,.062,.191,8.4,13.8,11.0,9.3,1.1,1.1,11.5,19.6,3.9,4.5,8.4,.073,-1.4,-1.0,-2.3,-0.5,
Cole Aldrich,,339,23,3389,16.6,.563,.000,.296,11.2,27.0,19.0,8.6,2.1,5.6,17.6,15.2,3.8,5.8,9.6,.135,-1.6,1.7,0.1,1.8,
LaMarcus Aldridge,,1076,997,36242,20.7,.544,.042,.270,8.8,18.8,13.8,10.2,1.1,2.6,8.0,25.7,72.9,42.8,115.6,.153,2.0,-0.3,1.7,33.4,
Cory Alexander,,307,35,4847,12.4,.504,.444,.233,1.8,9.8,5.7,28.6,2.9,0.6,21.9,20.1,-0.3,3.3,3.0,.030,-1.4,-0.3,-1.7,0.4,
Victor Alexander,,286,155,5755,13.7,.541,.030,.239,8.6,17.9,13.3,6.7,1.1,1.9,13.9,19.5,3.9,4.9,8.8,.073,-1.5,-0.7,-2.2,-0.3,
Nickeil Alexander-Walker,,381,68,7942,11.2,.534,.545,.159,2.3,10.8,6.6,15.7,1.6,1.7,12.7,18.9,1.8,8.5,10.2,.062,-1.4,0.2,-1.2,1.6,
Grayson Allen,,403,252,10227,12.8,.620,.657,.209,2.2,10.4,6.4,10.8,1.4,1.0,10.4,16.0,14.3,8.3,22.6,.106,0.2,-0.2,0.0,5.1,
Jarrett Allen,,568,503,16020,20.6,.670,.026,.447,11.2,24.5,17.9,8.9,1.1,3.7,12.4,16.8,42.0,24.8,66.7,.200,1.5,0.9,2.4,17.7,
Lavoy Allen,,388,87,6905,12.5,.491,.009,.158,11.4,18.2,14.8,8.4,0.9,2.5,12.0,13.9,5.7,8.1,13.8,.096,-2.0,0.0,-2.1,-0.1,
Lucius Allen,,702,,20159,15.5,.504,,.257,3.2,7.4,5.4,21.5,2.2,0.5,17.9,20.5,22.6,19.4,42.0,.100,0.2,-0.2,0.1,6.3,
Malik Allen,,478,125,7262,9.9,.465,.007,.137,7.4,14.3,10.8,5.3,0.9,2.4,11.3,17.9,-1.6,8.2,6.6,.044,-3.6,-0.2,-3.8,-3.3,
Ray Allen,,1300,1149,46344,18.6,.580,.392,.260,3.2,10.3,6.8,16.5,1.7,0.4,11.4,23.8,111.7,33.4,145.1,.150,3.6,-0.7,2.9,57.6,
Tony Allen,,820,441,18055,14.2,.529,.082,.350,6.6,12.1,9.4,9.6,3.4,1.5,15.1,18.7,9.1,29.6,38.7,.103,-1.6,1.9,0.3,10.4,
Morris Almond,,38,1,361,7.0,.463,.212,.310,3.3,11.8,7.5,4.9,1.7,0.9,12.9,18.3,-0.3,0.3,0.0,.005,-5.3,-0.8,-6.1,-0.4,
Rafer Alston,,671,452,19392,13.2,.490,.440,.194,1.5,9.7,5.6,27.4,2.2,0.4,14.7,19.4,10.3,22.6,32.9,.081,-0.5,0.4,0.0,9.6,
