name,pos,games,games_started,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,tpl_dbl,awards
Vlade Divac,,1134,979,33838,5205,10510,.495,100,426,.235,5105,10084,.506,.500,2888,4176,.692,2881,6445,9326,3541,1288,1631,2470,3609,13398,8,
Juan Dixon,,436,77,8509,1400,3393,.413,331,972,.341,1069,2421,.442,.461,547,657,.833,155,661,816,775,341,34,552,733,3678,0,
Michael Doleac,,587,84,8789,1246,2838,.439,1,8,.125,1245,2830,.440,.439,389,492,.791,582,1373,1955,343,200,209,376,1315,2882,0,
James Donaldson,,957,659,26222,3105,5442,.571,0,0,,3105,5442,.571,.571,1993,2722,.732,2060,5432,7492,765,336,1267,1454,2025,8203,0,
Luka Dončić,,450,450,15712,4359,9321,.468,1378,3938,.350,2981,5383,.554,.542,2782,3704,.751,427,3454,3881,3700,556,203,1777,1028,12878,82,
Keyon Dooling,,728,86,14134,1810,4356,.416,446,1277,.349,1364,3079,.443,.467,1001,1253,.799,132,832,964,1601,463,75,803,1221,5067,0,
Joey Dorsey,,130,26,1488,142,266,.534,0,1,.000,142,265,.536,.534,60,160,.375,198,315,513,55,67,44,86,256,344,0,
Tyler Dorsey,,107,16,1680,255,651,.392,117,333,.351,138,318,.434,.482,83,124,.669,45,200,245,135,31,7,64,116,710,0,
Luguentz Dort,,363,354,10619,1511,3706,.408,734,2039,.360,777,1667,.466,.507,686,868,.790,391,1012,1403,585,348,150,406,1059,4442,0,
Damyean Dotson,,213,49,4242,603,1446,.417,253,733,.345,350,713,.491,.504,135,190,.711,58,474,532,315,109,20,151,255,1594,0,
Leon Douglas,,456,17,10111,1386,2798,.495,0,4,.000,1386,2794,.496,.495,815,1355,.601,1045,1909,2954,479,210,325,660,1631,3587,0,
Sherman Douglas,,765,482,21148,3335,6886,.484,154,576,.267,3181,6310,.504,.495,1601,2361,.678,558,1114,1672,4536,785,76,1761,1615,8425,1,
Toney Douglas,,394,65,7511,1093,2705,.404,444,1256,.354,649,1449,.448,.486,379,460,.824,213,662,875,889,349,30,410,775,3009,0,
Chris Douglas-Roberts,,222,61,4381,574,1309,.439,84,255,.329,490,1054,.465,.471,339,408,.831,83,389,472,254,128,55,200,287,1571,0,
Sonny Dove,,222,,4971,994,2173,.457,6,27,.222,988,2146,.460,.459,464,717,.647,501,719,1334,219,,,427,679,2458,0,
PJ Dozier,,130,6,2008,270,670,.403,85,273,.311,185,397,.466,.466,75,116,.647,67,270,337,204,65,35,93,177,700,0,
Goran Dragić,,946,530,25604,4605,10029,.459,1150,3181,.362,3455,6848,.505,.517,2208,2883,.766,643,2173,2816,4405,876,167,2064,2119,12568,2,
Greg Dreiling,,474,94,4241,375,803,.467,3,9,.333,372,794,.469,.469,261,402,.649,287,731,1018,186,82,137,250,923,1014,0,
Bryce Drew,,243,46,3970,419,1096,.382,150,404,.371,269,692,.389,.451,93,112,.830,56,239,295,524,123,10,209,291,1081,0,
John Drew,,739,183,21828,5481,11658,.470,10,57,.175,5471,11601,.472,.471,4319,5774,.748,2158,2930,5088,1224,1004,193,1402,2641,15291,0,
Larry Drew,,714,341,18370,3308,7085,.467,118,405,.291,3190,6680,.478,.475,1376,1724,.798,259,1006,1265,3702,791,45,1565,1286,8110,0,
Clyde Drexler,,1086,950,37537,8335,17673,.472,827,2603,.318,7508,15070,.498,.495,4698,5962,.788,2615,4062,6677,6125,2207,719,2977,3285,22195,25,
Terry Driscoll,,274,,3632,449,1071,.419,0,0,,449,1071,.419,.419,229,330,.694,117,186,1114,221,31,22,28,588,1127,0,
Andre Drummond,,904,663,24220,4740,8753,.542,18,140,.129,4722,8613,.548,.543,1795,3696,.486,3765,7216,10981,1107,1133,1148,1622,2599,11293,0,
Kevin Duckworth,,684,527,17462,3216,6870,.468,5,24,.208,3211,6846,.469,.468,1648,2239,.736,1369,2576,3945,598,329,316,1237,2195,8085,0,
Charles Dudley,,361,,6337,686,1380,.497,,,,,,,,536,798,.672,403,680,1089,1230,284,13,227,722,1908,0,
Chris Dudley,,886,331,16321,1391,3380,.412,0,5,.000,1391,3375,.412,.412,691,1508,.458,2234,3223,5457,375,334,1027,740,2328,3473,0,
Jared Dudley,,904,286,20117,2408,5197,.463,883,2247,.393,1525,2950,.517,.548,934,1276,.732,805,2044,2849,1394,710,167,763,1636,6633,0,
Chris Duhon,,606,319,15526,1353,3440,.393,649,1788,.363,704,1652,.426,.488,591,754,.784,200,1164,1364,2690,471,36,925,965,3946,1,
Walter Dukes,,553,,14671,1912,5175,.369,,,,,,,,1941,2773,.700,,,6223,608,,,,2260,5765,0,
Joe Dumars,,1018,944,35139,5994,13026,.460,990,2592,.382,5004,10434,.480,.498,3423,4059,.843,671,1532,2203,4612,902,83,2084,1826,16401,0,
Tim Duncan,,1392,1389,47368,10285,20334,.506,30,168,.179,10255,20166,.509,.507,5896,8468,.696,3859,11232,15091,4225,1025,3020,3381,3304,26496,4,
Mike Dunleavy,,438,55,8428,1311,2809,.467,142,419,.339,1169,2390,.489,.492,732,904,.810,147,542,689,1723,329,25,713,1013,3496,0,
Mike Dunleavy,,986,585,27340,3935,8926,.441,1304,3460,.377,2631,5466,.481,.514,1874,2333,.803,698,3513,4211,2185,719,324,1369,1986,11048,0,
Kris Dunn,,407,222,9497,1271,2907,.437,261,799,.327,1010,2108,.479,.482,313,425,.736,211,1144,1355,1617,597,171,634,1114,3116,0,
T.R. Dunn,,993,457,23080,2030,4443,.457,1,20,.050,2029,4423,.459,.457,972,1341,.725,1729,2642,4371,1631,1316,252,815,2072,5033,0,
Ronald Dupree,,157,8,1758,218,510,.427,5,13,.385,213,497,.429,.432,114,204,.559,116,223,339,100,57,29,90,252,555,0,
Kevin Durant,,1123,1120,41237,10542,20999,.502,2191,5620,.390,8351,15379,.543,.554,7296,8271,.882,740,7088,7828,4908,1174,1273,3554,2137,30571,18,
Ledell Eackles,,441,88,8917,1810,4071,.445,137,408,.336,1673,3663,.457,.461,1026,1338,.767,362,617,979,740,249,31,600,794,4783,0,
Jim Eakins,,767,,19023,2900,5753,.504,0,3,.000,2900,5750,.504,.504,2455,3114,.788,1914,3664,5578,1345,192,450,1362,2295,8255,0,
Mark Eaton,,875,815,25169,2072,4526,.458,0,2,.000,2072,4524,.458,.458,1072,1653,.649,1857,5082,6939,840,368,3064,1293,2955,5216,6,
Jerry Eaves,,168,8,2685,416,882,.472,1,14,.071,415,868,.478,.472,299,387,.773,64,144,208,414,85,8,251,218,1132,0,
Tyus Edney,,226,87,4743,583,1438,.405,65,202,.322,518,1236,.419,.428,497,617,.806,122,271,393,910,217,6,395,387,1728,0,
Anthony Edwards,,381,363,13263,3200,7167,.446,1109,3043,.364,2091,4124,.507,.524,1588,1976,.804,281,1736,2017,1600,504,233,1099,770,9097,0,
Blue Edwards,,704,452,18409,3021,6362,.475,304,908,.335,2717,5454,.498,.499,1239,1590,.779,698,1678,2376,1409,728,297,1187,1923,7585,1,
Franklin Edwards,,296,36,4436,738,1644,.449,1,33,.030,737,1611,.457,.449,325,409,.795,78,222,300,774,249,21,398,348,1802,0,
James Edwards,,1168,763,28356,5802,11724,.495,1,21,.048,5801,11703,.496,.495,3257,4666,.698,1804,4200,6004,1499,420,867,1931,4042,14862,0,
Kevin Edwards,,604,302,15332,2650,6259,.423,176,525,.335,2474,5734,.431,.437,1120,1395,.803,516,1137,1653,1609,825,197,1138,1028,6596,0,
Johnny Egan,,712,,14448,2089,4867,.429,,,,,,,,1343,1668,.805,,,1294,2102,,,,1441,5521,0,
Craig Ehlo,,873,321,21071,2977,6579,.453,621,1684,.369,2356,4895,.481,.500,917,1330,.689,996,2143,3139,2456,989,232,1225,1695,7492,0,
Howard Eisley,,786,167,16013,1881,4617,.407,516,1474,.350,1365,3143,.434,.463,838,1013,.827,208,1116,1324,2748,540,83,1172,1701,5116,0,
Obinna Ekezie,,143,32,1516,165,390,.423,0,1,.000,165,389,.424,.423,180,250,.720,146,237,383,31,38,27,95,254,510,0,
Mario Elie,,732,395,18654,2123,4492,.473,574,1572,.365,1549,2920,.530,.537,1445,1692,.854,520,1497,2017,1875,671,129,960,1438,6265,0,
Henry Ellenson,,83,2,787,121,326,.371,49,146,.336,72,180,.400,.446,51,66,.773,28,178,206,49,13,3,41,63,342,0,
Wayne Ellington,,770,206,16100,2233,5441,.410,1214,3175,.382,1019,2266,.450,.522,510,605,.843,238,1405,1643,852,412,66,508,884,6190,0,
Sean Elliott,,742,712,24502,3852,8290,.465,589,1572,.375,3263,6718,.486,.500,2251,2816,.799,819,2385,3204,1897,576,284,1328,1626,10544,0,
Dale Ellis,,1209,589,34778,7323,15275,.479,1719,4266,.403,5604,11009,.509,.536,2639,3365,.784,1533,2668,4201,1746,974,183,1771,2480,19004,0,
Harold Ellis,,145,26,1923,312,592,.527,1,21,.048,311,571,.545,.528,215,329,.653,177,114,291,89,159,18,111,252,840,0,
Joe Ellis,,524,,10374,1946,4884,.398,,,,,,,,731,1005,.727,37,85,2686,716,33,9,,1397,4623,0,
LaPhonso Ellis,,624,359,17616,2895,6409,.452,241,797,.302,2654,5612,.473,.471,1379,1888,.730,1320,2712,4032,981,433,477,1001,1934,7410,0,
LeRon Ellis,,91,2,857,110,254,.433,0,0,,110,254,.433,.433,57,93,.613,87,133,220,29,25,37,35,105,277,0,
Leroy Ellis,,1048,232,27520,4143,9378,.442,,,,,,,,1890,2595,.728,534,1060,8709,1405,146,151,,2661,10176,1,
Monta Ellis,,833,713,29011,5723,12688,.451,737,2349,.314,4986,10339,.482,.480,2675,3463,.772,520,2354,2874,3856,1409,281,2246,1950,14858,0,
Pervis Ellison,,474,245,11593,1826,3579,.510,1,20,.050,1825,3559,.513,.510,841,1221,.689,1087,2083,3170,691,293,752,798,1493,4494,0,
Len Elmore,,658,178,12389,1627,3968,.410,1,5,.200,1626,3963,.410,.410,693,955,.726,1103,2257,3360,616,582,674,780,1809,3948,0,
Francisco Elson,,472,149,7207,725,1517,.478,3,16,.188,722,1501,.481,.479,273,390,.700,497,1141,1638,260,228,255,355,1000,1726,0,
Melvin Ely,,375,55,6005,783,1702,.460,0,3,.000,783,1699,.461,.460,426,682,.625,448,767,1215,261,99,209,392,765,1992,0,
Joel Embiid,,452,452,14407,4117,8212,.501,532,1568,.339,3585,6644,.540,.534,3757,4538,.828,1008,3979,4987,1658,411,738,1547,1369,12523,8,
Wayne Embry,,831,,21763,3993,9067,.440,,,,,,,,2394,3741,.640,,,7544,1194,,,,2838,10380,1,
Andre Emmett,,14,0,73,6,13,.462,0,1,.000,6,12,.500,.462,8,13,.615,2,6,8,1,2,1,3,6,20,0,
Chris Engler,,195,2,1405,138,336,.411,0,0,,138,336,.411,.411,67,99,.677,137,249,386,45,32,42,91,274,343,0,
Alex English,,1193,837,38063,10659,21036,.507,18,83,.217,10641,20953,.508,.507,4277,5141,.832,2778,3760,6538,4351,1067,833,2821,3027,25613,5,
James Ennis III,,395,140,8022,907,1985,.457,317,880,.360,590,1105,.534,.537,498,625,.797,393,913,1306,373,244,113,303,792,2629,0,
Keith Erickson,,766,,18841,3014,6926,.435,,,,,,,,1223,1591,.769,306,827,3449,1991,222,45,,2081,7251,0,
Julius Erving,,1243,823,45227,11818,23370,.506,134,449,.298,11684,22921,.510,.509,6256,8052,.777,3689,6836,10525,5176,2272,1941,3940,3494,30026,1,
Drew Eubanks,,384,75,5884,876,1450,.604,21,53,.396,855,1397,.612,.611,409,564,.725,533,1175,1708,369,135,313,324,605,2182,0,
Jeremy Evans,,250,9,2626,364,640,.569,6,26,.231,358,614,.583,.573,145,211,.687,239,402,641,107,90,121,85,291,879,0,
Maurice Evans,,562,123,10918,1429,3231,.442,426,1172,.363,1003,2059,.487,.508,463,590,.785,559,825,1384,420,294,88,278,956,3747,0,
Mike Evans,,591,15,9858,1835,4060,.452,231,753,.307,1604,3307,.485,.480,630,781,.807,184,624,808,1514,430,51,818,1173,4531,0,
Reggie Evans,,809,372,15572,1107,2379,.465,1,11,.091,1106,2368,.467,.466,1074,2036,.528,1984,3781,5765,458,566,115,897,1895,3289,0,
Tyreke Evans,,594,426,18242,3510,7978,.440,500,1548,.323,3010,6430,.468,.471,1827,2415,.757,500,2220,2720,2852,734,222,1489,1308,9347,3,
Patrick Ewing,,1183,1122,40594,9702,19241,.504,19,125,.152,9683,19116,.507,.505,5392,7289,.740,2752,8855,11607,2215,1136,2894,3537,4034,24815,1,
Dante Exum,,320,102,6005,734,1688,.435,243,708,.343,491,980,.501,.507,280,366,.765,120,503,623,728,135,52,379,548,1991,0,
John Fairchild,,165,8,2277,414,1026,.404,14,38,.368,400,988,.405,.410,243,357,.681,55,91,523,115,,,185,304,1085,0,
Kenneth Faried,,478,385,11728,2190,4009,.546,10,45,.222,2180,3964,.550,.548,1040,1590,.654,1465,2419,3884,470,351,392,626,1180,5430,0,
Dick Farley,,211,,3822,481,1252,.384,,,,,,,,416,594,.700,,,527,386,,,,429,1378,0,
Jordan Farmar,,504,40,9840,1460,3452,.423,583,1559,.374,877,1893,.463,.507,385,521,.739,161,797,958,1453,391,56,695,713,3888,0,
Jim Farmer,,136,1,1454,275,643,.428,22,78,.282,253,565,.448,.445,143,196,.730,77,109,186,111,42,4,118,164,715,0,
Mike Farmer,,423,,8818,1165,2965,.393,,,,,,,,486,597,.814,,,1950,550,,,,840,2816,0,
Derrick Favors,,790,503,19202,3420,6407,.534,38,192,.198,3382,6215,.544,.537,1476,2225,.663,1933,3675,5608,851,577,939,995,1976,8354,0,
Jamie Feick,,201,35,4316,351,827,.424,12,30,.400,339,797,.425,.432,197,313,.629,515,922,1437,139,117,90,152,439,911,0,
Dave Feitl,,275,58,3001,471,1089,.433,0,9,.000,471,1080,.436,.433,250,333,.751,241,574,815,125,46,46,234,439,1192,0,
Cristiano Felício,,252,20,3554,431,754,.572,0,14,.000,431,740,.582,.572,216,321,.673,381,611,992,183,72,50,155,358,1078,0,
Ray Felix,,637,,15187,2406,5841,.412,,,,,,,,2162,3187,.678,,,5654,456,,,,2419,6974,0,
Raymond Felton,,971,659,28829,4105,9959,.412,925,2813,.329,3180,7146,.445,.459,1718,2175,.790,552,2315,2867,5096,1144,207,2008,1870,10853,2,
Bruno Fernando,,220,21,2325,351,646,.543,6,49,.122,345,597,.578,.548,164,251,.653,235,477,712,161,58,102,160,362,872,0,
Eric Fernsten,,218,0,1643,193,434,.445,0,0,,193,434,.445,.445,131,194,.675,144,228,372,82,52,51,72,174,517,0,
Al Ferrari,,371,,7582,878,2389,.368,,,,,,,,769,1012,.760,,,830,943,,,,1008,2525,0,
Duane Ferrell,,583,72,8734,1420,2961,.480,42,146,.288,1378,2815,.490,.487,822,1096,.750,552,580,1132,509,302,105,509,902,3704,0,
Yogi Ferrell,,259,53,5212,723,1721,.420,289,791,.365,434,930,.467,.504,259,310,.835,70,467,537,601,167,29,219,356,1994,0,
Bob Ferry,,634,,12828,2225,5142,.433,,,,,,,,1330,2003,.664,,,3343,906,,,,1438,5780,0,
Danny Ferry,,917,186,18133,2505,5615,.446,677,1724,.393,1828,3891,.470,.506,752,895,.840,647,1903,2550,1185,384,292,811,1964,6439,0,
Kyrylo Fesenko,,135,7,1107,125,252,.496,0,2,.000,125,250,.500,.496,55,134,.410,97,172,269,40,19,53,66,224,305,0,
Landry Fields,,255,176,6010,684,1446,.473,120,361,.332,564,1085,.520,.515,243,365,.666,248,844,1092,419,212,45,270,310,1731,0,
Hank Finkel,,551,,6866,1125,2508,.449,,,,,,,,540,816,.662,74,173,2151,426,10,10,,1090,2790,0,
Michael Finley,,1103,875,37996,6696,15095,.444,1454,3880,.375,5242,11215,.467,.492,2460,3032,.811,1121,3683,4804,3245,996,323,1629,1812,17306,6,
Dorian Finney-Smith,,591,444,16521,1793,4109,.436,920,2540,.362,873,1569,.556,.548,403,561,.718,883,1789,2672,851,485,265,514,1283,4909,0,
Derek Fisher,,1287,731,32719,3720,9329,.399,1248,3341,.374,2472,5988,.413,.466,2025,2479,.817,414,2244,2658,3804,1352,98,1473,2684,10713,0,
Marcus Fizer,,289,35,6032,1103,2536,.435,21,110,.191,1082,2426,.446,.439,555,803,.691,375,965,1340,352,134,81,428,648,2782,0,
Jerry Fleishman,,262,,882,541,1953,.277,,,,,,,,430,674,.638,,,152,429,,,,607,1512,0,
Ed Fleming,,292,,6186,862,2403,.359,,,,,,,,787,1077,.731,,,1532,544,,,,688,2511,0,
Vern Fleming,,893,523,24721,3964,7954,.498,38,210,.181,3926,7744,.507,.501,2159,2826,.764,979,2033,3012,4293,926,105,1795,2003,10125,5,
Sleepy Floyd,,957,584,26383,4448,10015,.444,518,1599,.324,3930,8416,.467,.470,2846,3493,.815,626,1868,2494,5175,1120,215,2251,1972,12260,1,
Malachi Flynn,,217,21,3076,427,1103,.387,188,564,.333,239,539,.443,.472,142,190,.747,59,317,376,414,120,23,148,248,1184,0,
Bryn Forbes,,431,167,8582,1359,3119,.436,720,1757,.410,639,1362,.469,.551,338,409,.826,69,649,718,523,163,14,297,594,3776,0,
Chris Ford,,794,283,22043,3160,6874,.460,126,336,.375,3034,6538,.464,.469,868,1188,.731,820,1308,2394,2719,1152,192,726,1817,7314,0,
Don Ford,,474,83,9301,1313,2828,.464,1,7,.143,1312,2821,.465,.464,389,503,.773,544,1147,1691,647,274,139,296,1004,3016,0,
Phil Ford,,482,266,13503,2128,4560,.467,25,119,.210,2103,4441,.474,.469,1313,1602,.820,161,693,854,3083,589,29,1326,1269,5594,0,
T.J. Ford,,429,306,11882,1829,4223,.433,127,439,.289,1702,3784,.450,.448,1012,1242,.815,296,1035,1331,2495,496,55,1047,972,4797,0,
Danny Fortson,,440,175,8832,1196,2534,.472,2,12,.167,1194,2522,.473,.472,1221,1556,.785,1195,1989,3184,301,182,94,655,1553,3615,0,
Fred Foster,,524,20,9116,1701,4107,.414,,,,,,,,691,950,.727,132,162,1275,601,57,8,,1008,4093,0,
Greg Foster,,656,95,7974,1047,2382,.440,20,89,.225,1027,2293,.448,.444,424,567,.748,509,1182,1691,351,94,194,465,1221,2538,0,
Jeff Foster,,764,345,15750,1472,2961,.497,7,54,.130,1465,2907,.504,.498,796,1295,.615,2101,3147,5248,703,507,308,613,1921,3747,0,
Evan Fournier,,704,504,19514,3447,7823,.441,1359,3631,.374,2088,4192,.498,.527,1354,1694,.799,277,1601,1878,1759,615,108,1083,1648,9607,0,
Larry Foust,,817,,21890,3814,9414,.405,,,,,,,,3570,4816,.741,,,8041,1368,,,,2909,11198,0,
De'Aaron Fox,,531,517,17660,4210,8959,.470,815,2467,.330,3395,6492,.523,.515,2164,2900,.746,330,1752,2082,3262,756,221,1449,1383,11399,1,
Jim Fox,,743,,17294,2611,5452,.479,,,,,,,,1723,2239,.770,554,1215,5525,1201,151,79,,2023,6945,2,
Rick Fox,,930,587,23723,3382,7519,.450,771,2208,.349,2611,5311,.492,.501,1431,1858,.770,996,2521,3517,2649,967,355,1611,2739,8966,0,
Randy Foye,,752,433,19279,2704,6750,.401,1104,3017,.366,1600,3733,.429,.482,1217,1429,.852,245,1441,1686,2112,528,220,1106,1584,7729,0,
Adonal Foyle,,733,269,13060,1318,2766,.477,0,2,.000,1318,2764,.477,.477,353,707,.499,1301,2160,3461,344,264,1193,597,1575,2989,0,
Richie Frahm,,140,2,1473,178,433,.411,95,267,.356,83,166,.500,.521,51,63,.810,36,128,164,83,37,10,35,122,502,0,
Steve Francis,,576,543,21632,3543,8267,.429,575,1684,.341,2968,6583,.451,.463,2785,3494,.797,960,2255,3215,3473,846,223,2030,1813,10446,7,
Tellis Frank,,264,81,4703,639,1456,.439,0,4,.000,639,1452,.440,.439,432,583,.741,363,659,1022,276,158,95,326,795,1710,0,
Ron Franz,,403,,9912,1765,3945,.447,53,190,.279,1712,3755,.456,.454,1150,1635,.703,569,1090,2128,668,,,762,1120,4733,0,
Tim Frazier,,289,84,5088,515,1286,.400,131,405,.323,384,881,.436,.451,251,347,.723,139,515,654,1142,193,26,379,517,1412,1,
Walt Frazier,,825,,30965,6130,12516,.490,0,1,.000,6130,12515,.490,.490,3321,4226,.786,403,1523,4830,5040,681,63,139,2180,15581,23,
Jimmer Fredette,,241,7,3213,524,1282,.409,193,519,.372,331,763,.434,.484,197,224,.879,53,190,243,331,94,11,223,222,1438,0,
World B. Free,,886,392,26893,6512,14294,.456,213,632,.337,6299,13662,.461,.463,4718,6264,.753,1008,1422,2430,3319,910,223,1869,2270,17955,0,
Enes Freedom,,748,259,16101,3426,6254,.548,46,159,.289,3380,6095,.555,.551,1451,1868,.777,2223,3599,5822,638,296,363,1076,1606,8349,0,
Donnie Freeman,,648,131,21026,4566,10004,.456,11,73,.151,4555,9931,.459,.457,3090,3861,.800,874,1092,2292,2292,222,67,1379,1764,12233,0,
Channing Frye,,890,445,19772,2931,6655,.440,1049,2706,.388,1882,3949,.477,.519,875,1064,.822,767,3235,4002,864,457,540,787,2255,7786,0,
Joe Fulks,,489,,4490,2824,9338,.302,,,,,,,,2355,3075,.766,,,1379,587,,,,1774,8003,0,
Todd Fuller,,225,23,2500,317,752,.422,0,4,.000,317,748,.424,.422,201,301,.668,240,434,674,46,34,60,146,351,835,0,
Markelle Fultz,,255,164,6123,1124,2389,.470,83,296,.280,1041,2093,.497,.488,325,444,.732,218,599,817,1111,286,70,451,464,2656,2,
Lawrence Funderburke,,318,7,4726,812,1606,.506,2,17,.118,810,1589,.510,.506,405,600,.675,447,695,1142,183,94,100,225,360,2031,0,
Bill Gabor,,307,,3680,1080,3141,.344,,,,,,,,837,1136,.737,,,448,626,,,,1050,2997,0,
Wenyen Gabriel,,150,8,1939,262,500,.524,38,122,.311,224,378,.593,.562,103,170,.606,203,311,514,72,53,63,101,293,665,0,
Dan Gadzuric,,527,164,7793,1049,2100,.500,0,8,.000,1049,2092,.501,.500,367,737,.498,910,1416,2326,196,242,448,357,1250,2465,0,
Daniel Gafford,,378,215,7489,1453,2048,.709,0,1,.000,1453,2047,.710,.709,591,879,.672,814,1313,2127,397,190,584,360,932,3497,0,
Corey Gaines,,80,10,1002,92,217,.424,11,48,.229,81,169,.479,.449,53,72,.736,12,57,69,247,39,4,72,98,248,0,
Mike Gale,,842,70,20645,2616,5634,.464,17,91,.187,2599,5543,.469,.466,954,1222,.781,668,1777,2445,3146,1349,375,1300,1941,6203,0,
Harry Gallatin,,682,,15813,2810,7057,.398,,,,,,,,3223,4167,.773,,,6684,1208,,,,2086,8843,0,
Danilo Gallinari,,777,563,22410,3537,8266,.428,1456,3825,.381,2081,4441,.469,.516,3077,3511,.876,521,3097,3618,1469,550,268,908,1355,11607,0,
Langston Galloway,,452,62,9840,1304,3286,.397,639,1738,.368,665,1548,.430,.494,409,501,.816,212,894,1106,732,304,64,269,704,3656,0,
Dave Gambee,,750,,14665,2820,6708,.420,,,,,,,,2295,2791,.822,,,3891,757,,,,2180,7935,0,
Kevin Gamble,,649,270,14508,2562,5106,.502,228,634,.360,2334,4472,.522,.524,802,990,.810,370,1087,1457,1300,470,176,587,1228,6154,1,
Francisco García,,549,137,11853,1564,3659,.427,581,1627,.357,983,2032,.484,.507,614,768,.799,278,1122,1400,747,441,388,545,1229,4323,0,
Darius Garland,,382,378,12693,2635,5818,.453,897,2313,.388,1738,3505,.496,.530,1037,1196,.867,194,821,1015,2558,447,44,1127,703,7204,1,
Winston Garland,,511,315,13391,1912,4444,.430,73,260,.281,1839,4184,.440,.438,902,1087,.830,413,1020,1433,2421,674,80,975,1251,4799,2,
Dick Garmaker,,421,,12155,2022,5019,.403,,,,,,,,1553,1974,.787,,,1748,1114,,,,1168,5597,0,
Kevin Garnett,,1462,1425,50418,10505,21142,.497,174,632,.275,10331,20510,.504,.501,4887,6190,.789,3209,11453,14662,5445,1859,2037,3179,3561,26071,16,
Dean Garrett,,359,210,6969,722,1504,.480,0,0,,722,1504,.480,.480,293,433,.677,597,1213,1810,204,168,372,203,687,1737,0,
Dick Garrett,,339,,8729,1436,3392,.423,,,,,,,,603,699,.863,15,25,1004,849,10,1,,1024,3475,0,
Rowland Garrett,,263,0,2905,562,1273,.441,,,,,,,,213,276,.772,193,353,607,106,75,39,,344,1337,0,
Pat Garrity,,552,107,11062,1479,3543,.417,631,1587,.398,848,1956,.434,.506,428,531,.806,343,1114,1457,443,246,104,417,1274,4017,0,
Marc Gasol,,891,866,28719,4635,9638,.481,431,1197,.360,4204,8441,.498,.503,2813,3625,.776,1411,5193,6604,2996,792,1254,1755,2551,12514,5,
Pau Gasol,,1226,1150,41001,7980,15729,.507,179,486,.368,7801,15243,.512,.513,4755,6311,.753,3085,8220,11305,3925,606,1941,2638,2632,20894,10,
Chris Gatling,,700,86,13760,2804,5469,.513,50,201,.249,2754,5268,.523,.517,1574,2386,.660,1248,2493,3741,461,464,375,1069,1870,7232,0,
Kenny Gattison,,494,130,9927,1536,2956,.520,1,12,.083,1535,2944,.521,.520,850,1309,.649,744,1583,2327,444,290,327,602,1419,3923,0,
Rudy Gay,,1120,779,34561,6670,14771,.452,1186,3429,.346,5484,11342,.484,.492,3116,3898,.799,1447,4836,6283,2280,1231,798,2245,2524,17642,0,
Andrew Gaze,,26,0,128,16,42,.381,9,24,.375,7,18,.389,.488,2,2,1.000,3,9,12,11,4,2,7,16,43,0,
Alonzo Gee,,417,213,9071,1001,2309,.434,186,572,.325,815,1737,.469,.474,566,751,.754,389,971,1360,441,379,101,447,792,2754,0,
Matt Geiger,,552,214,12221,2039,4083,.499,16,69,.232,2023,4014,.504,.501,965,1325,.728,1152,2006,3158,388,306,347,744,1629,5059,0,
Mickaël Gelabale,,145,27,2348,263,560,.470,43,136,.316,220,424,.519,.508,101,124,.815,107,223,330,115,50,35,92,186,670,0,
Devean George,,630,108,11682,1318,3360,.392,427,1246,.343,891,2114,.421,.456,473,656,.721,546,1429,1975,543,436,230,447,1270,3536,0,
Jack George,,506,,15860,1901,5226,.364,,,,,,,,1351,1918,.704,,,2129,2169,,,,1242,5153,1,
Paul George,,908,860,30516,6400,14553,.440,2349,6127,.383,4051,8426,.481,.520,3548,4160,.853,750,4934,5684,3369,1539,401,2423,2418,18697,4,
Tate George,,177,14,2019,297,717,.414,1,14,.071,296,703,.421,.415,141,172,.820,65,115,180,325,76,11,157,182,736,0,
Gus Gerard,,446,,7953,1541,3517,.438,6,22,.273,1535,3495,.439,.439,677,973,.696,714,1097,1811,560,283,318,554,996,3765,0,
George Gervin,,1060,623,35597,10368,20583,.504,122,451,.271,10246,20132,.509,.507,5737,6822,.841,1816,3786,5602,2798,1283,1047,2909,3250,26595,0,
John Gianelli,,541,,13650,1798,3823,.470,0,0,,1798,3823,.470,.470,614,875,.702,967,2071,3188,832,225,476,275,1270,4210,0,
Dick Gibbs,,333,,4310,675,1678,.402,,,,,,,,389,487,.799,159,231,624,260,67,35,,629,1739,0,
Daniel Gibson,,397,77,9316,1065,2646,.402,578,1419,.407,487,1227,.397,.512,407,522,.780,142,650,792,775,243,86,373,811,3115,0,
Taj Gibson,,1002,461,23069,3478,6728,.517,55,207,.266,3423,6521,.525,.521,1386,1947,.712,2133,3594,5727,946,530,964,1045,2425,8397,0,
Harry Giles,,165,17,1935,379,746,.508,11,45,.244,368,701,.525,.515,119,180,.661,152,421,573,180,63,56,143,338,888,0,
Shai Gilgeous-Alexander,,462,453,15291,3943,7872,.501,614,1729,.355,3329,6143,.542,.540,2794,3243,.862,351,1860,2211,2362,666,370,1072,1044,11294,2,
Anthony Gill,,230,15,2168,281,549,.512,45,151,.298,236,398,.593,.553,166,221,.751,141,254,395,122,44,40,74,233,773,0,
